name,ty,t10yff,t10y2y,t10y3m,gs10gs5,gs10gs3,gs10gs2,gs10gs1,gs10gsm,gs10dgs3mo
ty,1.00,0.68,0.91,0.83,0.84,0.89,0.91,0.87,0.89,0.77
t10yff,0.68,1.00,0.79,0.79,0.68,0.74,0.80,0.82,0.80,0.76
t10y2y,0.91,0.79,1.00,0.85,0.93,0.97,0.98,0.97,0.98,0.83
t10y3m,0.83,0.79,0.85,1.00,0.72,0.80,0.84,0.92,0.89,0.99
gs10gs5,0.84,0.68,0.93,0.72,1.00,0.97,0.96,0.90,0.93,0.70
gs10gs3,0.89,0.74,0.97,0.80,0.97,1.00,0.99,0.95,0.98,0.78
gs10gs2,0.91,0.80,0.98,0.84,0.96,0.99,1.00,0.98,0.99,0.83
gs10gs1,0.87,0.82,0.97,0.92,0.90,0.95,0.98,1.00,0.99,0.90
gs10gsm,0.89,0.80,0.98,0.89,0.93,0.98,0.99,0.99,1.00,0.87
gs10dgs3mo,0.77,0.76,0.83,0.99,0.70,0.78,0.83,0.90,0.87,1.00
