Variable,N,Mean,StdDev,Skew,Kurt,Min,Q1,Median,Q3,Max,RMSEty
ty,877,0.63,0.64,0.32,0.35,-1.35,0.22,0.55,0.96,2.72,0.00
t10yff,480,0.56,1.84,-1.32,3.29,-9.57,-0.22,0.81,1.86,4.04,1.48
t10y2y,307,0.61,0.79,-0.16,0.29,-2.01,0.09,0.58,1.12,2.57,0.33
t10y3m,240,1.69,1.12,-0.00,-0.94,-0.77,0.77,1.66,2.57,4.09,1.18
gs10gs5,585,0.16,0.28,0.15,0.53,-0.72,-0.01,0.14,0.34,1.04,0.53
gs10gs3,585,0.33,0.51,0.42,0.64,-1.30,0.00,0.29,0.66,2.00,0.33
gs10gs2,307,0.61,0.79,-0.14,0.21,-2.13,0.12,0.60,1.12,2.53,0.33
gs10gs1,585,0.72,0.98,-0.10,0.48,-3.07,0.11,0.70,1.40,3.29,0.58
gs10gsm,585,0.52,0.74,0.10,0.43,-2.19,0.05,0.50,1.03,2.62,0.34
gs10dgs3mo,244,1.71,1.11,0.05,-0.87,-0.65,0.77,1.67,2.57,4.46,1.23
